make_model,body_type,power,gearbox,doors,fuel_type,mileage,age,engine_size_cat,type,price
Mercedes Benz A 160,Compact,75.0,Manual,5.0,Diesel,120200.0,6.0,Low,Used,16950
Mercedes Benz A 35 AMG,Compact,225.0,Automatic,5.0,Benzin,18995.0,2.0,Medium,Used,46990
Mercedes Benz A 45 AMG,Compact,100.0,Automatic,5.0,Diesel,197000.0,7.0,Medium,Used,16800
Mercedes Benz C 160,Compact,90.0,Manual,3.0,Benzin,165000.0,17.0,Medium,Used,4690
Mercedes Benz CLA 180,Compact,90.0,Manual,5.0,Diesel,83339.0,4.0,Low,Used,22550
Mercedes Benz A 220,Compact,140.0,Automatic,5.0,Benzin,48900.0,3.0,Medium,Used,26900
Mercedes Benz A 35 AMG,Compact,225.0,Automatic,5.0,Benzin,56876.0,3.0,Medium,Used,44999
Mercedes Benz A 200,Compact,102.0,Automatic,5.0,Diesel,21854.0,4.0,Medium,Used,23900
Mercedes Benz A 160,Compact,66.0,Manual,5.0,Diesel,99016.0,7.0,Low,Used,14200
Mercedes Benz A 45 AMG,Compact,280.0,Automatic,5.0,Benzin,90000.0,6.0,Medium,Used,37999
Mercedes Benz A 250,Compact,155.0,Automatic,5.0,Benzin,25914.0,9.0,Medium,Used,23999
Mercedes Benz A 180,Compact,85.0,Manual,5.0,Diesel,27150.0,2.0,Low,Used,24400
Mercedes Benz A 45 AMG,Compact,100.0,Automatic,5.0,Diesel,210000.0,6.0,Medium,Used,16999
Mercedes Benz A 180,Compact,80.0,Manual,5.0,Diesel,157500.0,12.0,Medium,Used,7450
Mercedes Benz A 250,Compact,118.0,Automatic,5.0,Benzin,21496.0,1.0,Low,Used,38999
Mercedes Benz A 35 AMG,Compact,225.0,Automatic,5.0,Benzin,44000.0,3.0,Medium,Used,41900
Mercedes Benz A 180,Compact,85.0,Automatic,5.0,Diesel,21734.0,2.0,Low,Used,29800
Mercedes Benz A 45 AMG,Compact,280.0,Automatic,5.0,Benzin,81500.0,6.0,Medium,Used,37490
Mercedes Benz A 180,Compact,80.0,Automatic,5.0,Diesel,172700.0,4.0,Low,Used,21000
Mercedes Benz A 180,Compact,85.0,Automatic,5.0,Diesel,18989.0,2.0,Low,Used,26800
Mercedes Benz A 180,Compact,100.0,Manual,5.0,Benzin,25.0,1.0,Low,Pre-registered,32900
Mercedes Benz A 200,Compact,120.0,Manual,5.0,Benzin,24244.0,3.0,Low,Used,32950
Mercedes Benz GLC 220,Compact,143.0,Automatic,5.0,Diesel,6589.0,1.0,Medium,Used,64900
Mercedes Benz A 45 AMG,Compact,310.0,Automatic,5.0,Benzin,6564.0,1.0,Medium,Used,67900
Mercedes Benz A 160,Compact,66.0,Manual,5.0,Diesel,128644.0,8.0,Low,Used,13999
Mercedes Benz A 45 AMG,Compact,265.0,Automatic,5.0,Benzin,120000.0,8.0,Medium,Used,29990
Mercedes Benz A 200,Compact,100.0,Automatic,5.0,Benzin,71752.0,17.0,Medium,Used,8300
Mercedes Benz A 200,Compact,120.0,Automatic,5.0,Benzin,34942.0,2.0,Low,Used,32950
Mercedes Benz A 180,Compact,100.0,Automatic,5.0,Benzin,20124.0,2.0,Low,Used,32950
Mercedes Benz A 250,Compact,160.0,Automatic,5.0,Benzin,11990.0,1.0,Low,Used,36900
Mercedes Benz E 220,Compact,125.0,Manual,5.0,Diesel,55226.0,6.0,Medium,Used,29800
Mercedes Benz A 180,Compact,90.0,Automatic,5.0,Benzin,63871.0,5.0,Low,Used,18390
Mercedes Benz A 180,Compact,100.0,Manual,5.0,Benzin,26900.0,2.0,Low,Used,25900
Mercedes Benz A 180,Compact,85.0,Automatic,5.0,Diesel,87700.0,4.0,Low,Used,25400
Mercedes Benz B 200,Compact,110.0,Automatic,5.0,Diesel,45701.0,3.0,Medium,Used,29000
Mercedes Benz A 180,Compact,100.0,Automatic,5.0,Benzin,52497.0,3.0,Low,Used,29900
Mercedes Benz A 180,Compact,80.0,Manual,5.0,Diesel,118059.0,8.0,Low,Used,14490
Mercedes Benz A 180,Compact,85.0,Manual,5.0,Diesel,98258.0,3.0,Low,Used,20630
Mercedes Benz A 160,Compact,80.0,Manual,5.0,Benzin,11394.0,1.0,Low,Used,27500
Mercedes Benz A 180,Compact,85.0,Automatic,5.0,Benzin,141980.0,11.0,Medium,Used,8490
Mercedes Benz A 180,Compact,80.0,Automatic,5.0,Diesel,71098.0,4.0,Low,Used,23850
Mercedes Benz A 220,Compact,140.0,Automatic,5.0,Benzin,26000.0,3.0,Medium,Used,35500
Mercedes Benz A 180,Compact,85.0,Automatic,5.0,Diesel,26500.0,1.0,Low,Used,29900
Mercedes Benz A 180,Compact,85.0,Automatic,5.0,Diesel,43987.0,3.0,Low,Used,25900
Mercedes Benz A 180,Compact,80.0,Automatic,5.0,Diesel,139000.0,6.0,Low,Used,16700
Mercedes Benz A 180,Compact,100.0,Automatic,5.0,Benzin,58813.0,2.0,Low,Used,27460
